15:58:09  |  Platform  |  Info  |  * Initialise: RenderManager  |  E:\Libs\MyGUI\Platforms\Ogre\OgrePlatform\src\MyGUI_OgreRenderManager.cpp  |  43
15:58:09  |  Platform  |  Info  |  RenderManager successfully initialized  |  E:\Libs\MyGUI\Platforms\Ogre\OgrePlatform\src\MyGUI_OgreRenderManager.cpp  |  71
15:58:09  |  Platform  |  Info  |  * Initialise: DataManager  |  E:\Libs\MyGUI\Platforms\Ogre\OgrePlatform\src\MyGUI_OgreDataManager.cpp  |  27
15:58:09  |  Platform  |  Info  |  DataManager successfully initialized  |  E:\Libs\MyGUI\Platforms\Ogre\OgrePlatform\src\MyGUI_OgreDataManager.cpp  |  35
15:58:09  |  Core  |  Info  |  * Initialise: Gui  |  E:\Libs\MyGUI\MyGUIEngine\src\MyGUI_Gui.cpp  |  75
15:58:09  |  Core  |  Info  |  * MyGUI version 3.2.0.4323  |  E:\Libs\MyGUI\MyGUIEngine\src\MyGUI_Gui.cpp  |  82
15:58:09  |  Core  |  Info  |  * Initialise: ResourceManager  |  E:\Libs\MyGUI\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  48
15:58:09  |  Core  |  Info  |  ResourceManager successfully initialized  |  E:\Libs\MyGUI\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  56
15:58:09  |  Core  |  Info  |  * Initialise: LayerManager  |  E:\Libs\MyGUI\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  49
15:58:09  |  Core  |  Info  |  LayerManager successfully initialized  |  E:\Libs\MyGUI\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  57
15:58:09  |  Core  |  Info  |  * Initialise: WidgetManager  |  E:\Libs\MyGUI\MyGUIEngine\src\MyGUI_WidgetManager.cpp  |  67
15:58:09  |  Core  |  Info  |  WidgetManager successfully initialized  |  E:\Libs\MyGUI\MyGUIEngine\src\MyGUI_WidgetManager.cpp  |  98
15:58:09  |  Core  |  Info  |  * Initialise: InputManager  |  E:\Libs\MyGUI\MyGUIEngine\src\MyGUI_InputManager.cpp  |  58
15:58:09  |  Core  |  Info  |  InputManager successfully initialized  |  E:\Libs\MyGUI\MyGUIEngine\src\MyGUI_InputManager.cpp  |  78
15:58:09  |  Core  |  Info  |  * Initialise: SubWidgetManager  |  E:\Libs\MyGUI\MyGUIEngine\src\MyGUI_SubWidgetManager.cpp  |  49
15:58:09  |  Core  |  Info  |  SubWidgetManager successfully initialized  |  E:\Libs\MyGUI\MyGUIEngine\src\MyGUI_SubWidgetManager.cpp  |  69
